ID;Nationality;Age;DaysSinceCreation;NameHash;DocIDHash;AverageLeadTime;LodgingRevenue;OtherRevenue;BookingsCanceled;BookingsNoShowed;BookingsCheckedIn;PersonsNights;RoomNights;DaysSinceLastStay;DaysSinceFirstStay;DistributionChannel;MarketSegment;SRHighFloor;SRLowFloor;SRAccessibleRoom;SRMediumFloor;SRBathtub;SRShower;SRCrib;SRKingSizeBed;SRTwinBed;SRNearElevator;SRAwayFromElevator;SRNoAlcoholInMiniBar;SRQuietRoom;PurchaseDate;PaymentMethod
1;PRT;51;150;0x8E0A7AF39B633D5EA25C3B7EF4DFC5464B36DB7AF375716EB065E29697CC071E;0x71568459B729F7A7ABBED6C781A84CA4274D571003ACC7A4A791C3350D924137;45;371;105,3;1;0;3;8;5;151;1074;Corporate;Corporate;0;0;0;0;0;0;0;0;0;0;0;0;0;23/05/18;1
2;PRT;NULL;1095;0x21EDE41906B45079E75385B5AA33287CA09DE1AB86DE66EF88352FD1BE8DE368;0x5FA1E0098A31497057C5A6B9FE9D49FD6DD47CCE7C268E6548699E78E587AAEA;61;280;53;0;0;1;10;5;1100;1100;Travel Agent/Operator;Travel Agent/Operator;0;0;0;0;0;0;0;0;0;0;0;0;0;21/03/18;3

4;FRA;60;1095;0xFF534C83C0EF23D1CE516BC80A65D0197003D27937D485BC549171D52CE13CEA;0xBD3823A9B4EC35D6CAF4B27AE423A677C0200DB61E823EE8BE57787729DCBDB8;93;240;60;0;0;1;10;5;1100;1100;Travel Agent/Operator;Travel Agent/Operator;0;0;0;0;0;0;0;0;0;0;0;0;0;13/03/18;2
5;FRA;51;1095;0x9C1DEF02C9BE242842C1C1ABF2C5AA249A1EEB4763B47FF457133EE9199F1037;0xE175754CF77247B202DD0820F49407C762C14A603B3A6CFEA2A4DC06A5F7E00C;0;0;0;0;0;0;0;0;-1;-1;Travel Agent/Operator;Travel Agent/Operator;0;0;0;0;0;0;0;0;0;0;0;0;0;15/02/18;3
6;JPN;54;1095;0x6E70C1504EB27252542F58E4D3C8C83516E093334721A3CE1DD194FE3F98DA0F;0xE82EC1D6938A04CF19E1F7F55A402E7ABC686261537A24EAE7FF5CA92646528E;58;230;24;0;0;1;4;2;1097;1097;Travel Agent/Operator;Other;0;0;0;0;0;0;0;0;0;0;0;0;0;03/01/18;2
7;JPN;49;1095;0x1DD6DA89DEECA1841ABD572562982EE905566F4469ACB5B44FD49001BCF570ED;0xAB9CEF189D944E0607A55E48023A3A5290722C0DFC1B295463CC8BD61C02FAD3;0;0;0;0;0;0;0;0;-1;-1;Travel Agent/Operator;Other;0;0;0;0;0;0;0;0;0;0;0;0;0;30/04/18;4
8;FRA;32;1095;0x5A3A2D6A659769FCA243FC2A97644D27A75FB9AA4DF38D55145E5BEBDB4F06AA;0xB27F5644C88A7148360EFFF55D8F40565BAC3084B4C4A03F9EED486EB2437B2C;38;535;94;0;0;1;10;5;1100;1100;Travel Agent/Operator;Other;0;0;0;0;0;0;0;1;0;0;0;0;0;03/05/18;3
9;FRA;42;1095;0xD9D899DA4FB0CF23FDF902C1B237A30AE854FFBC79FC67092F2E6358FF5E9308;0xCCDDA9F399058BA00C9A53C107F986F1B5CECD1CEAEF234DF0EF11D769445AD7;0;0;0;0;0;0;0;0;-1;-1;Travel Agent/Operator;Other;0;0;0;0;0;0;0;1;0;0;0;0;0;28/03/18;1
10;IRL;25;1095;0x801B08C30D1A38E502BFC39A7914A2FF786C353FE409DE3524585487FAB951F9;0x0659443C9197CB0C2B728362C9837E67A72B3BA7D579842A41FD8977049A2679;96;174;69;0;0;1;6;3;1098;1098;Travel Agent/Operator;Travel Agent/Operator;0;0;0;0;0;0;0;0;0;0;0;0;0;06/02/18;4